Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
mb_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,0.037,0.019,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,-,-
mb_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.224,0.951,0.218,0.177,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.0,0.0,0.001,0.001,0.002,-,-
mb_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,3.888,4.947,4.828,5.499,5.507,9.412,9.378,9.277,10.675,12.214,13.006,13.322,14.569,13.611,15.244,18.607,14.915,15.176,17.734,17.488,16.998,17.74,16.959,18.506,17.01,17.847,20.865,19.226,-,-
mb_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,1.598,1.493,1.709,1.857,1.884,0.43,0.416,0.404,0.502,0.647,0.681,0.678,2.165,2.264,2.535,2.317,2.77,2.758,2.619,1.837,2.127,2.324,2.17,2.424,2.54,2.383,2.275,2.316,-,-
mb_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,14.172405,16.619012,14.868844,14.067678,16.295614,14.055316,12.994862,13.407008,13.398076,14.529775,15.89329,15.206157,17.354407,15.736205,16.228939,17.26851,17.626347,21.27816,21.045334,20.351088,19.670966,18.573852,22.461421,17.946802,18.008941,21.626805,22.966985,24.604663,-,-
mb_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.12,0.096,0.133,0.147,0.139,0.132,0.158,0.097,0.099,0.12,0.204,0.579,0.725,0.432,0.225,0.268,0.226044,0.175094,0.191085,0.146,0.111,0.061,0.125,0.126,0.167,0.141,0.218,0.341,-,-
"mb_ind_Table 12: Mining, Quarrying, Oil and Gas Extraction Secondary Energy Use and GHG Emissions",3.805,3.021,2.666,2.377,2.534,2.827,3.059,3.23,3.056,2.588,2.752212,2.908625,2.649247,3.684126,2.98322,2.851043,5.280175,5.516503,5.54212,5.134881,4.096,3.383,7.021,6.826,3.868,3.384,3.128,3.993,-,-
nb_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,40.401,40.268,40.572,40.622,38.643,36.762,37.415,38.024,36.79,36.663,37.175595,34.634796,36.623154,35.32,37.962071,38.413545,35.957248,37.429873,37.746732,36.797275,36.414726,38.554315,36.40373,33.823622,35.705219,36.921048,34.990177,34.694993,-,-
nb_tra_Table 1: Secondary Energy Use by Energy Source,55.799,54.697,56.153,58.423,61.396,61.118,63.351,65.582,66.292,68.94,71.44,69.849,69.09,67.518,68.869,69.597,67.795,66.001,62.924,58.214,63.568,77.387,68.313,55.797,52.945,57.051,62.493,56.626,-,-
nb_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,190.32,178.95,171.0,175.11,184.67,210.08,210.04,220.0,206.44,210.34,226.84,227.4,234.97,235.72,245.38,236.9,234.14,245.17,227.85,215.55,212.25,194.25,189.04,187.14,162.32,165.74,174.4,180.85,-,-
nb_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,4.768,3.857,3.771,3.178,3.253,3.221,2.975,3.07,3.068,3.297,3.429507,3.686829,3.762471,3.862989,4.457551,4.120262,4.163593,4.533893,4.044024,3.743989,6.185017,6.032023,5.110708,4.324649,5.430119,6.834186,8.544876,7.53167,-,-
nb_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,89.288458,62.472948,57.509738,57.63565,62.966102,98.760533,91.169541,94.036661,89.088006,97.014054,96.847863,91.054808,98.421672,97.691951,104.669481,89.42848,84.052139,93.876146,81.576814,73.161999,60.446777,53.979531,47.384156,53.024765,46.732744,52.160228,58.066367,61.134522,-,-
nb_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,1.197,1.111,1.892,2.168,2.248,1.549,1.387,1.394,1.599,1.817,1.645,1.504,1.385,1.019,0.871,1.18,1.745,2.519945,1.748152,1.803765,1.736666,1.681533,1.639797,1.623412,1.463829,1.525843,1.227578,2.284637,-,-
nb_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,42.365,45.792,43.5,49.309,38.395,49.598,57.724,61.65,55.049,55.933,63.244,77.035,75.711,72.882,72.515,72.987,74.515,74.585,73.935,75.539,79.744,73.757,76.002,71.088,58.943,57.318,62.557,62.512,-,-
nb_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.774,1.382,1.071,1.281,1.182,0.915,1.011,0.867,1.025,0.638,1.667,1.045,1.221,1.753,1.498,1.643,1.421,1.125,1.541308,1.156136,1.217234,1.176148,1.434017,1.134021,1.182026,1.218006,1.214007,1.372007,-,-
nb_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,0.908,0.762,0.906,0.888,0.983,1.283,1.145,1.163,1.187,1.31,1.426,1.531,1.347,1.379,1.603,1.266,1.426,1.368824,0.517003,0.480739,0.313337,0.32015,0.388417,0.43727,0.256328,0.365378,0.428451,0.369376,-,-
nb_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,1.728,1.334,1.632,1.711,1.886,1.047,0.799,0.712,0.95,0.957,0.438,0.03,0.039,0.04,0.045,0.049,0.006,0.015035,0.003039,0.109898,0.048932,0.061742,0.016039,0.009016,0.004,0.004,0.004,0.004,-,-
nb_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,17.563542,37.092052,36.146262,35.57485,46.002398,25.609917,25.020509,27.072789,27.192094,25.043546,27.284762,25.738595,27.376449,27.153281,30.166373,31.972717,34.737941,35.770544,32.89932,32.021052,31.162867,24.85926,27.406062,28.676347,21.494187,20.6171,20.597612,23.296176,-,-
nb_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.338,0.295,0.37,0.573,0.314,0.307,0.614,0.887,0.641,0.776,0.913548,0.738461,0.771607,0.975063,1.04495,1.150014,3.9587,4.133177,4.096813,2.49825,4.287449,4.499044,4.304295,4.051254,4.084328,4.792454,4.478242,5.598201,-,-
"nb_ind_Table 12: Mining, Quarrying, and Oil and Gas Extraction Secondary Energy Use and GHG Emissions",30.392,24.848,24.206,22.796,27.441,27.786,28.195,29.151,26.642,23.558,29.944203,25.03364,24.935658,28.95997,28.50718,33.105889,28.119592,27.242237,27.492897,25.039262,27.10941,27.882342,25.355107,22.771783,22.731137,20.906856,17.28199,16.74556,-,-
nl_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,28.493,28.917,29.62,30.282,28.651,26.601,26.771,27.401,25.379,24.588,24.672256,25.777668,27.166006,26.14,25.433983,23.091857,23.047042,25.330492,26.76586,25.385703,24.384017,26.013374,24.310855,23.660904,24.636321,24.54046,26.273219,25.599118,-,-
nl_tra_Table 1: Secondary Energy Use by Energy Source,51.979,48.202,46.246,43.561,42.444,45.985,47.245,47.105,47.088,48.251,50.659,49.421,48.713,51.511,53.262,54.379,48.579,58.064,58.469,58.256,59.782,62.603,49.594,44.021,54.901,58.984,61.276,56.332,-,-
nl_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,190.32,178.95,171.0,175.11,184.67,210.08,210.04,220.0,206.44,210.34,226.84,227.4,234.97,235.72,245.38,236.9,234.14,245.17,227.85,215.55,212.25,194.25,189.04,187.14,162.32,165.74,174.4,180.85,-,-
nl_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,4.768,3.857,3.771,3.178,3.253,3.221,2.975,3.07,3.068,3.297,3.429507,3.686829,3.762471,3.862989,4.457551,4.120262,4.163593,4.533893,4.044024,3.743989,6.185017,6.032023,5.110708,4.324649,5.430119,6.834186,8.544876,7.53167,-,-
nl_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,89.288458,62.472948,57.509738,57.63565,62.966102,98.760533,91.169541,94.036661,89.088006,97.014054,96.847863,91.054808,98.421672,97.691951,104.669481,89.42848,84.052139,93.876146,81.576814,73.161999,60.446777,53.979531,47.384156,53.024765,46.732744,52.160228,58.066367,61.134522,-,-
nl_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,1.197,1.111,1.892,2.168,2.248,1.549,1.387,1.394,1.599,1.817,1.645,1.504,1.385,1.019,0.871,1.18,1.745,2.519945,1.748152,1.803765,1.736666,1.681533,1.639797,1.623412,1.463829,1.525843,1.227578,2.284637,-,-
nl_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,42.365,45.792,43.5,49.309,38.395,49.598,57.724,61.65,55.049,55.933,63.244,77.035,75.711,72.882,72.515,72.987,74.515,74.585,73.935,75.539,79.744,73.757,76.002,71.088,58.943,57.318,62.557,62.512,-,-
nl_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.774,1.382,1.071,1.281,1.182,0.915,1.011,0.867,1.025,0.638,1.667,1.045,1.221,1.753,1.498,1.643,1.421,1.125,1.541308,1.156136,1.217234,1.176148,1.434017,1.134021,1.182026,1.218006,1.214007,1.372007,-,-
nl_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,0.908,0.762,0.906,0.888,0.983,1.283,1.145,1.163,1.187,1.31,1.426,1.531,1.347,1.379,1.603,1.266,1.426,1.368824,0.517003,0.480739,0.313337,0.32015,0.388417,0.43727,0.256328,0.365378,0.428451,0.369376,-,-
nl_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,1.728,1.334,1.632,1.711,1.886,1.047,0.799,0.712,0.95,0.957,0.438,0.03,0.039,0.04,0.045,0.049,0.006,0.015035,0.003039,0.109898,0.048932,0.061742,0.016039,0.009016,0.004,0.004,0.004,0.004,-,-
nl_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,17.563542,37.092052,36.146262,35.57485,46.002398,25.609917,25.020509,27.072789,27.192094,25.043546,27.284762,25.738595,27.376449,27.153281,30.166373,31.972717,34.737941,35.770544,32.89932,32.021052,31.162867,24.85926,27.406062,28.676347,21.494187,20.6171,20.597612,23.296176,-,-
nl_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.338,0.295,0.37,0.573,0.314,0.307,0.614,0.887,0.641,0.776,0.913548,0.738461,0.771607,0.975063,1.04495,1.150014,3.9587,4.133177,4.096813,2.49825,4.287449,4.499044,4.304295,4.051254,4.084328,4.792454,4.478242,5.598201,-,-
"nl_ind_Table 12: Mining, Quarrying, and Oil and Gas Extraction Secondary Energy Use and GHG Emissions",30.392,24.848,24.206,22.796,27.441,27.786,28.195,29.151,26.642,23.558,29.944203,25.03364,24.935658,28.95997,28.50718,33.105889,28.119592,27.242237,27.492897,25.039262,27.10941,27.882342,25.355107,22.771783,22.731137,20.906856,17.28199,16.74556,-,-
ns_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,51.488,48.151,49.98,50.86,49.1,44.149,45.467,47.486,46.034,46.268,47.341833,50.388743,50.824897,47.77,44.462785,42.45953,42.672332,47.470457,49.197823,49.022214,50.771725,53.792235,48.955993,46.908564,45.058719,45.361325,42.124983,43.850255,-,-
ns_tra_Table 1: Secondary Energy Use by Energy Source,74.555,72.609,70.686,72.692,75.219,76.727,75.156,76.435,80.086,85.382,80.58,75.806,75.137,79.649,81.808,83.484,76.677,75.069,72.623,71.388,70.32,77.736,72.206,67.359,63.38,72.25,71.968,72.274,-,-
ns_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,190.32,178.95,171.0,175.11,184.67,210.08,210.04,220.0,206.44,210.34,226.84,227.4,234.97,235.72,245.38,236.9,234.14,245.17,227.85,215.55,212.25,194.25,189.04,187.14,162.32,165.74,174.4,180.85,-,-
ns_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,4.768,3.857,3.771,3.178,3.253,3.221,2.975,3.07,3.068,3.297,3.429507,3.686829,3.762471,3.862989,4.457551,4.120262,4.163593,4.533893,4.044024,3.743989,6.185017,6.032023,5.110708,4.324649,5.430119,6.834186,8.544876,7.53167,-,-
ns_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,89.288458,62.472948,57.509738,57.63565,62.966102,98.760533,91.169541,94.036661,89.088006,97.014054,96.847863,91.054808,98.421672,97.691951,104.669481,89.42848,84.052139,93.876146,81.576814,73.161999,60.446777,53.979531,47.384156,53.024765,46.732744,52.160228,58.066367,61.134522,-,-
ns_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,1.197,1.111,1.892,2.168,2.248,1.549,1.387,1.394,1.599,1.817,1.645,1.504,1.385,1.019,0.871,1.18,1.745,2.519945,1.748152,1.803765,1.736666,1.681533,1.639797,1.623412,1.463829,1.525843,1.227578,2.284637,-,-
ns_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,42.365,45.792,43.5,49.309,38.395,49.598,57.724,61.65,55.049,55.933,63.244,77.035,75.711,72.882,72.515,72.987,74.515,74.585,73.935,75.539,79.744,73.757,76.002,71.088,58.943,57.318,62.557,62.512,-,-
ns_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.774,1.382,1.071,1.281,1.182,0.915,1.011,0.867,1.025,0.638,1.667,1.045,1.221,1.753,1.498,1.643,1.421,1.125,1.541308,1.156136,1.217234,1.176148,1.434017,1.134021,1.182026,1.218006,1.214007,1.372007,-,-
ns_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,0.908,0.762,0.906,0.888,0.983,1.283,1.145,1.163,1.187,1.31,1.426,1.531,1.347,1.379,1.603,1.266,1.426,1.368824,0.517003,0.480739,0.313337,0.32015,0.388417,0.43727,0.256328,0.365378,0.428451,0.369376,-,-
ns_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,1.728,1.334,1.632,1.711,1.886,1.047,0.799,0.712,0.95,0.957,0.438,0.03,0.039,0.04,0.045,0.049,0.006,0.015035,0.003039,0.109898,0.048932,0.061742,0.016039,0.009016,0.004,0.004,0.004,0.004,-,-
ns_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,17.563542,37.092052,36.146262,35.57485,46.002398,25.609917,25.020509,27.072789,27.192094,25.043546,27.284762,25.738595,27.376449,27.153281,30.166373,31.972717,34.737941,35.770544,32.89932,32.021052,31.162867,24.85926,27.406062,28.676347,21.494187,20.6171,20.597612,23.296176,-,-
ns_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.338,0.295,0.37,0.573,0.314,0.307,0.614,0.887,0.641,0.776,0.913548,0.738461,0.771607,0.975063,1.04495,1.150014,3.9587,4.133177,4.096813,2.49825,4.287449,4.499044,4.304295,4.051254,4.084328,4.792454,4.478242,5.598201,-,-
"ns_ind_Table 12: Mining, Quarrying, and Oil and Gas Extraction Secondary Energy Use and GHG Emissions",30.392,24.848,24.206,22.796,27.441,27.786,28.195,29.151,26.642,23.558,29.944203,25.03364,24.935658,28.95997,28.50718,33.105889,28.119592,27.242237,27.492897,25.039262,27.10941,27.882342,25.355107,22.771783,22.731137,20.906856,17.28199,16.74556,-,-
on_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,255.90116,272.23824,289.653,293.3018,287.81648,282.682,298.258,317.774999999999,289.598999999999,320.09,354.0641337231,366.396660242,377.2902857603,399.420573417699,393.457392299999,387.8385184778,355.7839312881,365.0308251825,372.665115196299,358.985048918799,362.8765541675,390.2351654876,364.5189357418,399.3328116231,429.1593251157,420.787649316099,403.3678062892,432.9234980656,449.0931265637,455.9072659187
on_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,532.6,526.491,541.509,566.411,586.446,566.665,589.246,569.094,501.738,526.074,531.32615,516.356115,531.744491,564.219382,550.918859,567.006042,525.50729,569.607546,572.297897,547.421689,540.849625,574.02268,532.0673,577.064622,578.605258,583.005518,551.127804,563.134122,592.480304,584.013314
on_tra_Table 1: Secondary Energy Use by Energy Source,635.159,613.906,626.773,641.336,653.975,670.836,682.482,720.23,740.149,770.665,784.886,769.749,770.547,796.77,828.868,874.499,828.06,843.142,845.415,853.093,880.828,880.872,856.044,892.252,869.736,873.515,873.606,885.388,-,-
on_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,868.12,865.67,860.52,830.25,855.62,866.77,866.58,870.4,870.08,860.93,871.31,821.6,870.96,845.74,901.41,854.3,870.86,875.2,852.84,716.89,744.42,763.79,746.49,734.64,737.44,722.25,717.73,734.02,-,-
on_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,21.149,17.93,17.387,13.943,15.769,14.944,16.092,14.148,15.321,16.498,17.981193,17.609407,22.074648,23.163232,25.161226,27.014009,26.203402,24.95589,26.353961,22.137935,22.780803,22.626505,24.461569,23.650815,21.549806,33.901691,36.169018,39.141105,-,-
on_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,142.339325,96.452512,98.048436,99.294871,96.975846,141.47095,145.032593,150.142794,144.771195,154.871837,156.0935,142.444935,147.473745,146.990057,164.37147,135.182012,124.736859,118.176046,108.606869,89.743911,87.22043,89.62923,72.64586,101.240333,94.740631,88.609794,78.134129,83.606322,-,-
on_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,15.824,11.936,13.215,10.443,20.64,22.543,22.591,22.15,22.223,22.023,20.947,24.691,23.477,19.098,19.79,20.564,22.783,23.60605,24.243802,19.041304,19.365842,20.763291,19.706339,17.402625,11.856955,9.236897,19.826485,21.210313,-,-
on_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,107.842,110.526,120.465,121.649,113.854,125.269,125.924,123.428,134.205,114.344,123.494,126.062,142.269,140.858,134.806,127.893,127.933,133.677,132.146,122.34,124.842,120.598,119.181,104.675,106.496,97.53,94.233,94.21,-,-
on_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,27.9296,21.6428,23.3294,22.565,27.4506,27.9356,27.8542,28.012,28.4778,31.363,31.7126,30.7608,34.1012,37.485,36.9762,37.4332,41.2636,38.475102,32.462896,32.260318,31.497934,27.206468,27.159642,25.710484,24.822953,22.178593,22.339847,23.442064,-,-
on_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,80.015,73.774,66.155,52.727,60.634,63.068,70.223,67.927,64.343,65.9,67.175,61.419,57.727,37.099,54.911,41.556,56.613,57.120049,56.119043,49.525041,52.653084,49.963029,51.680024,59.8311,71.778111,76.292992,74.806649,69.907596,-,-
