Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
on_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,188.497,208.691,217.772,213.144,211.534,209.188,208.59,211.375,212.491,221.935,218.504,205.038,218.754,206.643,215.511,208.284,213.72,208.261,206.011,152.086,180.622,194.117,196.970006,175.849011,187.792,175.225,180.896,185.665032,-,-
on_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,253.787175,293.448988,271.884064,266.617629,280.533154,233.39605,220.108407,224.533656,221.311905,207.916313,209.287213,189.338202,201.375296,210.871593,219.720461,223.862427,225.737683,231.548011,226.329806,194.96532,195.215645,204.78636,198.977759,191.625585,183.087231,179.275572,167.110814,176.059409,-,-
on_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,1.463,1.277,1.481,1.379,1.579,1.555,1.73,2.389,3.061,4.023,4.381024,3.590065,3.526135,3.57721,7.647404,7.16928,6.35324,7.49337,7.602298,2.371091,1.868186,2.195083,1.530027,1.785016,1.384042,3.60606,3.92307,4.659385,-,-
"on_ind_Table 12: Mining, Quarrying, Oil and Gas Extraction Secondary Energy Use and GHG Emissions",29.273,29.996,30.781,28.487,26.652,27.402,28.436,26.291,23.878,22.052,21.73209,20.646177,20.183348,19.952646,22.511272,25.344097,25.52088,31.885985,32.962744,32.422328,28.356882,31.908911,34.173324,32.872899,33.934336,36.392784,40.287845,36.114192,-,-
pe_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,8.051,7.592,7.643,7.347,7.022,6.629,7.099,7.345,6.768,6.589,6.822143,6.669047,6.337045,5.62,6.544417,5.877721,5.80744,7.106982,7.027369,7.682241,7.27426,8.521339,7.561122,6.839772,6.281885,5.698454,5.700507,6.196801,-,-
pe_tra_Table 1: Secondary Energy Use by Energy Source,8.781,8.769,8.729,8.604,8.954,8.846,9.58,9.304,9.623,10.303,10.599,10.242,10.516,10.864,11.204,11.115,10.815,10.884,10.524,10.087,10.61,12.281,11.414,9.982,10.515,11.276,12.197,12.122,-,-
pe_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,190.32,178.95,171.0,175.11,184.67,210.08,210.04,220.0,206.44,210.34,226.84,227.4,234.97,235.72,245.38,236.9,234.14,245.17,227.85,215.55,212.25,194.25,189.04,187.14,162.32,165.74,174.4,180.85,-,-
pe_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,4.768,3.857,3.771,3.178,3.253,3.221,2.975,3.07,3.068,3.297,3.429507,3.686829,3.762471,3.862989,4.457551,4.120262,4.163593,4.533893,4.044024,3.743989,6.185017,6.032023,5.110708,4.324649,5.430119,6.834186,8.544876,7.53167,-,-
pe_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,89.288458,62.472948,57.509738,57.63565,62.966102,98.760533,91.169541,94.036661,89.088006,97.014054,96.847863,91.054808,98.421672,97.691951,104.669481,89.42848,84.052139,93.876146,81.576814,73.161999,60.446777,53.979531,47.384156,53.024765,46.732744,52.160228,58.066367,61.134522,-,-
pe_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,1.197,1.111,1.892,2.168,2.248,1.549,1.387,1.394,1.599,1.817,1.645,1.504,1.385,1.019,0.871,1.18,1.745,2.519945,1.748152,1.803765,1.736666,1.681533,1.639797,1.623412,1.463829,1.525843,1.227578,2.284637,-,-
pe_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,42.365,45.792,43.5,49.309,38.395,49.598,57.724,61.65,55.049,55.933,63.244,77.035,75.711,72.882,72.515,72.987,74.515,74.585,73.935,75.539,79.744,73.757,76.002,71.088,58.943,57.318,62.557,62.512,-,-
pe_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.774,1.382,1.071,1.281,1.182,0.915,1.011,0.867,1.025,0.638,1.667,1.045,1.221,1.753,1.498,1.643,1.421,1.125,1.541308,1.156136,1.217234,1.176148,1.434017,1.134021,1.182026,1.218006,1.214007,1.372007,-,-
pe_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,0.908,0.762,0.906,0.888,0.983,1.283,1.145,1.163,1.187,1.31,1.426,1.531,1.347,1.379,1.603,1.266,1.426,1.368824,0.517003,0.480739,0.313337,0.32015,0.388417,0.43727,0.256328,0.365378,0.428451,0.369376,-,-
pe_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,1.728,1.334,1.632,1.711,1.886,1.047,0.799,0.712,0.95,0.957,0.438,0.03,0.039,0.04,0.045,0.049,0.006,0.015035,0.003039,0.109898,0.048932,0.061742,0.016039,0.009016,0.004,0.004,0.004,0.004,-,-
pe_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,17.563542,37.092052,36.146262,35.57485,46.002398,25.609917,25.020509,27.072789,27.192094,25.043546,27.284762,25.738595,27.376449,27.153281,30.166373,31.972717,34.737941,35.770544,32.89932,32.021052,31.162867,24.85926,27.406062,28.676347,21.494187,20.6171,20.597612,23.296176,-,-
pe_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.338,0.295,0.37,0.573,0.314,0.307,0.614,0.887,0.641,0.776,0.913548,0.738461,0.771607,0.975063,1.04495,1.150014,3.9587,4.133177,4.096813,2.49825,4.287449,4.499044,4.304295,4.051254,4.084328,4.792454,4.478242,5.598201,-,-
"pe_ind_Table 12: Mining, Quarrying, and Oil and Gas Extraction Secondary Energy Use and GHG Emissions",30.392,24.848,24.206,22.796,27.441,27.786,28.195,29.151,26.642,23.558,29.944203,25.03364,24.935658,28.95997,28.50718,33.105889,28.119592,27.242237,27.492897,25.039262,27.10941,27.882342,25.355107,22.771783,22.731137,20.906856,17.28199,16.74556,-,-
qc_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,126.6148,127.47352,134.61612,137.54028,140.897359999999,152.727,142.865,144.215999999999,139.759,145.708,218.282993847,214.04881575,227.031370686999,240.0185096,229.899772072,224.824781104,211.010830148,218.835649757,219.120364024999,231.433374064,226.077775962,224.9713549468,209.3091628733,211.875211002999,219.7990318677,223.489613117899,222.384753896,230.1669177482,232.7857612765,237.5053952072
qc_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,357.051,343.806,357.519,362.317,368.104,353.759,366.905,363.183,349.238,358.328,304.184385,287.255174,299.476183,315.110133,335.914163,322.935587,313.85598,340.214675,334.819779,339.421551,313.508781,323.321858,317.285386,333.788166,349.930383,338.180941,329.618722,326.619322,342.876946,351.297847
qc_tra_Table 1: Secondary Energy Use by Energy Source,399.438,375.355,388.748,391.613,417.593,417.024,425.875,431.665,455.108,458.768,457.95,456.822,479.129,484.75,496.115,486.426,504.229,530.328,515.59,501.708,501.016,522.5,550.504,542.36,507.608,520.91,528.923,534.365,-,-
qc_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,605.9,585.84,595.08,613.39,638.74,645.86,652.38,696.14,664.24,669.87,687.73,655.96,690.96,705.7,725.77,694.23,691.28,679.02,679.22,632.21,597.91,602.13,591.01,597.83,618.76,629.5,604.81,594.86,-,-
qc_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,12.571,11.409,10.879,8.416,7.932,6.204,6.003,6.615,6.405,6.546,6.313088,6.466208,7.904411,9.689526,10.78992,8.806773,10.95788,11.743043,11.007996,15.534258,17.008771,17.735794,17.901408,16.670433,15.342883,15.311483,16.761886,17.596146,-,-
qc_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,202.861137,153.464501,150.989314,148.960929,155.150703,218.19391,203.761154,247.659094,216.331262,222.563784,223.596747,203.302158,223.485415,219.582296,230.88368,203.597074,192.582588,179.571304,173.63393,144.484568,138.140733,139.061587,125.668045,125.435563,125.734897,138.836432,134.738982,133.50994,-,-
qc_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,126.436,133.487,142.021,157.352,163.02,157.125,167.77,168.707,175.697,172.05,169.765032,184.955012,192.248041,199.192166,185.991264,199.054232,204.345207,195.284853,199.422218,174.642163,180.052656,188.907347,177.529031,175.796889,188.956264,200.173485,203.56196,207.795238,-,-
qc_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,58.773,51.912,54.414,55.237,58.938,50.003,63.028,58.465,57.564,57.17,62.444,61.839,55.504,55.461,67.072,64.298,68.901,70.342,66.322,66.486,50.02,43.868,41.304,38.663,37.361,39.916,35.851,30.228,-,-
qc_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,13.5127,12.4401,10.2038,10.8235,13.6382,13.0662,12.2804,10.083,10.6491,10.65,11.0832,10.8056,10.6104,10.7325,12.7154,12.9004,8.8912,8.53901,13.017614,10.604924,11.098232,11.199313,12.440711,10.85581,10.929122,11.494337,12.176105,12.707006,-,-
qc_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,28.247,30.816,26.997,29.243,23.898,26.484,25.432,27.016,25.797,28.554,27.078,27.253,28.006,30.152,32.209,30.953,35.152,38.08108,35.961053,34.50308,31.125098,32.556104,32.421584,27.658089,43.224134,44.530195,29.670225,24.817288,-,-
qc_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,24.578,21.044,20.509,21.997,28.571,28.477,33.136,32.885,34.593,30.202,33.155,17.109,18.308,24.992,24.012,22.097,25.476,33.502031,27.135031,24.49108,19.610064,21.231063,22.861056,27.412058,31.559117,30.853116,29.521105,30.396154,-,-
qc_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,113.008863,144.998499,153.329686,153.543071,159.948297,116.75009,112.638146,116.366156,110.523088,115.298216,124.794548,118.520114,126.747413,124.027647,132.606626,128.061121,114.105799,111.900538,116.601375,111.293313,108.36268,114.22807,118.275262,132.015179,125.688277,109.472044,103.790533,103.555817,-,-
qc_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,2.079,1.765,2.108,2.425,2.05,2.301,2.473,2.535,2.875,3.711,4.322032,4.451062,4.902127,7.625157,8.491291,8.878253,8.077267,6.520193,6.722204,9.490538,7.478294,5.533278,5.822131,5.386201,5.337486,5.417001,6.237456,6.153127,-,-
"qc_ind_Table 12: Mining, Quarrying, Oil and Gas Extraction Secondary Energy Use and GHG Emissions",23.833,24.503,23.63,25.396,25.593,27.252,25.857,25.804,23.804,23.128,25.181035,21.263067,23.244134,24.250214,20.99943,15.580342,22.795345,23.532313,29.400293,40.67955,35.009632,27.805667,36.783352,37.940378,34.622112,33.495927,32.501872,28.098967,-,-
sk_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,33.73448,33.77272,31.7450399999999,43.1864,40.18344,40.8619999999999,42.6319999999999,39.399,38.375,43.131,47.917,43.1239999999999,51.178,46.855,44.15612711869,44.21606813183,44.1550780911499,43.47304954952,47.05203466205,49.0430440366999,41.4990480427099,40.129,38.714,39.074102,42.52978235294,42.35408870968,45.9710139534899,49.788,52.642,55.864
sk_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,53.266,53.736,50.892,52.695,52.85,53.72,58.997,52.388,48.555,49.679,49.504954,48.842129,50.641309,46.081859,44.81963,42.770411,44.640681,43.803794,45.691213,47.605145,50.643236,48.90846,47.713545,51.550807,52.156671,48.710007,47.567694,51.459698,55.398189,57.305694
sk_tra_Table 1: Secondary Energy Use by Energy Source,63.076,66.1,68.987,70.916,78.032,76.778,78.937,76.768,75.171,75.282,77.115,76.674,83.392,89.091,89.767,93.999,100.174,108.71,115.623,124.719,134.259,123.037,133.476,147.346,141.408,144.233,139.495,140.952,-,-
sk_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,91.99,101.52,121.25,116.48,129.49,117.74,118.8,122.29,119.18,115.05,123.33,121.11,118.81,122.94,124.48,123.77,124.51,131.49,123.62,116.91,128.89,137.48,145.63,150.17,161.18,166.86,161.44,165.97,-,-
sk_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,3.616,3.468,3.643,3.719,4.076,4.13,4.71,4.73,4.606,4.766,4.27,3.783,4.237,4.857,4.73,5.387136,4.937085,6.096036,6.260047,5.558286,6.075283,6.376,6.239,7.242006,7.020206,8.792016,9.771,9.758,-,-
sk_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,16.805259,9.060601,10.431463,11.220424,11.566747,19.96125,19.91303,17.202998,16.740964,14.705404,15.498816,14.939504,15.921881,13.954428,14.885655,9.198,1.646645,5.434067,0.865315,3.953,3.916,4.219,8.451681,8.67218,6.482727,5.057762,5.529547,6.065125,-,-
sk_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,2.095,2.243,3.067,3.452,2.519,0.419,0.412,0.43,0.466,0.517,0.547,0.57,0.596,0.584,0.573,0.557,0.0,0.018516,0.009266,0.0,0.0,0.0,0.0,0.0,0.050754,0.036865,0.030957,0.033973,-,-
sk_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,28.393,28.13,26.8366,22.446404,24.274404,11.716507,15.901746,13.404166,12.93404,11.17421,11.97963,12.93151,13.60051,17.82649,22.41933,16.25833,19.16413,18.73413,9.13422,12.33023,13.97106,20.659198,22.808585,23.22402,23.166659,24.85711,24.576644,24.329513,-,-
sk_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,0.507,0.503,0.066,0.028,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.002,0.0,0.077,0.072,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.047,-,-
sk_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,1.789,1.857,1.892,7.953,8.853,3.019,3.203,2.929,3.123,3.222,3.354,3.294,3.399,3.378,3.267,4.205,3.073,2.962,3.082,2.363,2.638,4.716,6.274,6.451,8.311027,8.871004,10.08,9.896,-,-
sk_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,0.576,0.608,0.583,0.02,3.332,6.044,6.75,5.335,5.675,5.046,5.169,4.565,5.053,5.318,5.479,5.086,5.437,4.663,5.729,4.751,6.654,5.313,5.18,5.65,5.372,5.04,4.89,5.311,-,-
sk_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,9.972741,26.245399,42.123537,13.890576,18.514753,9.01475,14.95362,14.472002,14.686636,12.631146,13.767734,11.945196,11.121369,6.699072,6.024415,5.725026,11.606931,10.887446,12.981566,8.875138,10.13916,14.571,17.410119,19.760282,22.760643,18.325381,15.685546,18.206912,-,-
sk_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,0.13,0.121,0.115,0.149,0.106,0.095,0.117,0.149,0.176,0.165,0.186,0.164,0.105,0.127,0.206,0.237,0.266,0.195,0.117,0.13,0.239,0.231,0.208,0.200012,0.170096,0.197012,0.169,0.201,-,-
"sk_ind_Table 12: Mining, Quarrying, Oil and Gas Extraction Secondary Energy Use and GHG Emissions",28.108,29.285,32.4964,53.598596,56.236596,63.344493,52.837254,63.633834,60.77596,62.82279,68.55737,68.92049,64.77449,70.19151,66.897071,77.114088,78.377308,82.423379,85.372215,78.946135,85.254776,81.393802,79.059415,78.968478,87.842759,95.681426,90.706933,92.11902,-,-
ter_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,4.01,4.34,4.369,5.02,4.563,2.833,3.131,2.954,2.091,3.018,3.429,3.381,3.314,3.15,3.704,3.395,3.062,3.581,3.987,3.596858,3.258619,3.279,3.006909,2.946,3.036,2.777,2.395,2.212814,-,-
can_agr_Atlantic1,6.345,7.732,9.072,7.761,8.21,9.314,9.036,9.891,9.851,9.933,9.623,8.201,8.703,7.355,9.121,9.075,8.064,8.83,8.401,8.651,11.706,12.604,10.22,8.773,6.097,6.104,6.525,6.525,-,-
can_agr_Newfoundland and Labrador1,0.509,0.716,0.98,0.91,0.991,0.993,0.974,1.196,1.219,1.184,0.935,0.796,0.881,0.461,0.498,0.432,0.377,0.391,0.394,0.372,0.481,0.484,0.34,0.28,0.424,0.352,0.367,0.367,-,-
can_agr_Prince Edward Island1,1.428,1.417,1.421,1.488,1.431,1.564,1.753,1.905,2.069,1.984,1.629,1.323,1.735,1.68,1.782,1.784,1.739,1.787,1.758,2.055,2.204,2.534,2.183,1.962,1.909,2.181,2.289,2.289,-,-
can_agr_Nova Scotia1,2.526,3.559,4.266,3.042,3.144,3.675,3.628,3.905,3.777,3.846,4.411,3.846,3.596,3.061,4.504,4.679,3.606,3.989,3.708,2.856,4.174,4.765,3.674,2.966,1.615,1.687,1.677,1.677,-,-
can_agr_Quebec1,19.441,20.433,21.522,20.349,20.849,19.327,17.744,19.335,18.95,19.634,21.155,22.804,25.185,28.841,28.394,32.182,31.39,33.177,32.335,30.138,33.493,37.885,33.459,35.902,34.873,33.192,33.373,33.373,-,-
can_agr_Ontario1,39.779,44.074,45.535,44.156,43.755,51.497,54.523,54.718,54.641,55.865,55.092,53.296,52.779,54.077,52.198,51.197,53.545,51.16,52.185,46.272,60.466,65.376,62.304,64.443,59.274,61.03,61.937,61.937,-,-
can_agr_Manitoba1,20.467,18.502,17.953,19.501,19.382,21.83,22.738,22.429,20.71,21.084,21.757,22.459,23.784,23.918,25.302,25.408,23.409,23.341,24.225,18.552,18.395,19.911,21.647,22.109,23.37,23.65,23.505,23.505,-,-
can_agr_Saskatchewan1,50.587,46.079,43.861,44.976,48.316,50.077,54.026,55.686,48.671,50.398,49.198,44.031,40.684,40.521,41.227,44.823,44.401,53.331,53.817,53.945,55.1,59.924,62.352,69.346,82.157,84.422,82.205,82.205,-,-
can_agr_Alberta1,52.389,46.859,46.841,49.264,44.397,47.138,52.601,54.492,57.913,58.658,61.139,52.636,47.09,52.402,51.49,52.324,55.639,53.305,56.676,42.059,48.241,56.881,56.426,58.366,63.304,61.958,64.577,64.577,-,-
can_agr_British Columbia and Territories1,10.149,11.564,12.072,12.758,10.882,10.068,11.53,13.483,14.465,14.818,16.601,19.401,16.029,15.363,15.005,12.845,13.751,15.939,15.848,12.218,19.104,18.965,20.934,21.734,22.291,25.828,26.975,26.975,-,-
can_agr_British Columbia1,10.149,11.564,12.072,12.758,10.882,10.068,11.53,13.483,14.465,14.818,16.601,19.401,16.029,15.363,15.005,12.845,13.751,15.939,15.848,12.218,19.104,18.965,20.934,21.734,22.291,25.828,26.975,-,-,-
can_agr_Territories1,10.149,11.564,12.072,12.758,10.882,10.068,11.53,13.483,14.465,14.818,16.601,19.401,16.029,15.363,15.005,12.845,13.751,15.939,15.848,12.218,19.104,18.965,20.934,21.734,22.291,25.828,26.975,-,-,-
